animalImage,imageName,PositionX,PositionY,pair,category
image\image9.jpg,image9,0.11,0.37,A,veg
image\image7.jpg,image7,0.22,0.37,A,veg
image\image10.jpg,image10,0.42,0.37,B,veg
image\image8.jpg,image8,0.53,0.37,B,veg
image\image15.jpg,image15,0.42,0.24,C,snack
image\image14.jpg,image14,0.53,0.24,C,snack
image\image20.jpg,image20,0.53,-0.02,D,snack
image\image13.jpg,image13,0.42,-0.02,D,snack
image\image6.jpg,image6,0.22,0.11,E,ing
image\image5.jpg,image5,0.11,0.11,E,ing
image\image11.jpg,image11,0.53,0.11,F,ing
image\image19.jpg,image19,0.42,0.11,F,ing
image\image12.jpg,image12,0.11,-0.02,G,dessert
image\image17.jpg,image17,0.22,-0.02,G,dessert
image\image16.jpg,image16,0.11,0.24,H,dessert
image\image18.jpg,image18,0.22,0.24,H,dessert
image\image3.jpg,image3,0.11,-0.15,I,fruit
image\image1.jpg,image1,0.22,-0.15,I,fruit
image\image4.jpg,image4,0.42,-0.15,J,fruit
image\image2.jpg,image2,0.53,-0.15,J,fruit
